x
16244600
8227103
5959718
3428131
2612878
2471784
2252664
2014775
2014670
1841710
1821424
1532408
1322965
1178126
1129598
878043
789257
770555
711050
631173
523806
514060
499667
489795
483262
475502
394708
384313
381286
369606
365966
348595
314887
305033
274701
269869
263259
262832
262597
258217
250182
249099
247546
225143
212274
210771
210280
205789
203790
203521
196446
192711
176309
171476
167347
160913
155820
124600
116355
114147
101496
95982
91149
84040
73672
69972
68234
66605
63267
59423
59228
59047
58769
55178
51113
50972
50234
49920
45662
45279
45104
43582
42945
42344
41605
40711
40697
37489
36253
35646
35164
31015
29044
28373
28242
27035
25502
25322
24680
23864
23320
22767
22390
20678
20497
19881
18963
18434
18377
17697
17466
17204
16954
15747
15654
14755
14504
14244
14046
14038
13678
13579
13072
12887
12648
10507
10486
10441
10308
10271
10220
9975
9951
9802
9613
9418
8722
8149
7843
7557
7253
7103
6972
6773
6475
6445
6075
5632
5474
5012
4373
4264
4225
4199
3908
3814
3796
3744
3092
2851
2584
2472
2448
2222
2184
1827
1780
1734
1493
1293
1239
1134
1129
1008
917
822
787
767
767
713
684
596
480
472
326
263
228
182
175
40
